rank,name,birthyear,begin,female,education,edu,edu_year,nation,eth_han,birth_prov,birth_city,purge,fwhr1,mouth_width,nose_width,nose_length,nwhr,eyebrow_position,foreheadr,lip_thickness,eyesize,chin_length,chin_width,flength,gdp,connections,attractiveness,competence,aggressiveness,trustworthiness,latitude,longitude,weighted_avg_gdp_growth_rate,weighted_avg_gdp,weighted_avg_fiscal_growth_rate,weighted_avg_fiscal_revenue,avg_gdp_growth_rate_t_plus_2,avg_fiscal_growth_rate_t_plus_2
1,罗月林,1949/10/1,2000/5/1,0,本科,1,16,汉族,1,湖南省,衡阳市,0,2.356846473,0.295180723,0.153614458,0.265060241,0.579545455,0.105421687,0.258569489,0.081325301,0.09939759,0.189759036,-0.403614458,0.362951807,-0.063171854,0,3.403910637,3.072011948,2.890336752,3.287451982,26.8971898,112.5665703,0.018006973,25.16264,,,0.033702537,
1,罗杰,1962/3/1,2012/10/1,0,本科,1,16,汉族,1,云南省,昆明市,0,2.273255161,0.266192595,0.147280112,0.263511786,0.558912805,0.13579902,0.248551683,0.095957604,0.088508682,0.171597309,-0.351353918,0.341220535,-0.008631503,0,3.102051973,2.877874136,2.91976428,2.969409704,24.8837627,102.8325695,0.099260549,27.68784167,0.017611453,4432.368333,0.233697027,0.212071224
1,罗林书,1949/11/1,2001/2/1,0,专科,1,14,汉族,1,四川省,内江市,0,2.258555133,0.288265306,0.142857143,0.270408163,0.528301887,0.113520408,0.236652237,0.071428571,0.086734694,0.196428571,-0.346938776,0.335459184,-0.000637899,0,3.04767561,2.851466179,3.0324893,2.950380087,29.6602202,104.9192806,0.137514236,21.432902,0.100250014,765.96,0.234012969,
1,罗正富,1952/8/1,1992/4/1,0,硕士,2,18,彝族,0,云南省,楚雄彝族自治州,0,2.156634434,0.314252611,0.177985167,0.288667195,0.616575664,0.116025798,0.224656186,0.082343,0.097264938,0.171732769,-0.356095334,0.359024991,0.01372904,0,2.638079548,2.967639303,2.611420584,2.871942234,25.4320355,101.7047854,0.077223449,7.314475,,,0.151386927,
1,罗殿龙,1952/5/1,2001/3/1,0,硕士,2,18,壮族,0,广西壮族自治区,贵港市,0,2.157863859,0.293184843,0.154539416,0.27027723,0.571781114,0.118388682,0.258065199,0.084457496,0.090924074,0.17614672,-0.366982433,0.363174995,0.030461611,0,2.41352272,2.890672266,2.844980597,3.071507692,23.1144539,109.5946193,0.212923623,17.99634143,0.155306703,1072.643333,0.450121619,-0.045555593
1,罗永纲,1966/9/1,2015/8/1,0,硕士,2,18,汉族,1,山西省,朔州市,0,2.362842066,0.265115963,0.144243129,0.265175033,0.543954412,0.140159036,0.251136259,0.091937577,0.095090039,0.167740664,-0.369105551,0.34382022,-0.026479926,0,2.754005134,3.125646114,2.806439698,3.19076848,39.592737,112.541339,0.038413116,191.3325895,0.065169325,12441.055,-0.348724478,-0.415192481
1,罗清宇,1963/10/1,2008/9/1,0,硕士,2,18,汉族,1,山西省,忻州市,0,2.54710963,0.301450441,0.161572071,0.266979494,0.605185324,0.132630918,0.262039131,0.086128628,0.105118042,0.194417919,-0.398634831,0.336617894,-0.003202322,0,2.480350912,2.905784905,2.686930835,3.091097593,38.76502,112.385805,0.061926813,213.1403987,0.065511289,19850.91336,0.121417224,0.232880507
1,罗碧升,1949/12/1,2000/1/1,0,硕士,2,18,汉族,1,湖南省,岳阳市,0,,,,,,,,,,,,,-0.007212924,0,,,,,29.3594838,113.1229551,0.124483616,52.5255,0.118650682,2402.12,0.241664652,
1,罗筱玉,1950/2/1,2000/6/1,1,专科,1,14,汉族,1,江西省,南昌市,0,2.725581395,0.302670623,0.15727003,0.246290801,0.638554217,0.145400593,0.271629819,0.086053412,0.105341246,0.189910979,-0.379821958,0.318991098,-0.014304506,0,3.040554523,3.303764343,2.561086893,3.209131956,28.687547,115.8540042,0.091930804,13.6654,,,0.192245609,
1,罗荫国,1954/4/1,2003/4/1,0,硕士,2,18,汉族,1,广东省,茂名市,1,2.29468614,0.3300842,0.182552029,0.283566319,0.643771904,0.111712175,0.227752155,0.080271539,0.105624301,0.169007557,-0.375736452,0.362679733,-0.032341246,0,2.566573461,3.070060094,2.817631165,2.619944414,21.6656961,110.9209511,0.130711669,105.7951548,0.212375853,3360.485304,0.175880049,0.404208447
1,翁玉耀,1965/3/1,2013/2/1,0,本科,1,16,汉族,1,福建省,福州市,0,2.237725996,0.250803291,0.133885358,0.270323727,0.495277864,0.140085486,0.256627012,0.090128584,0.086149376,0.180057792,-0.37122514,0.353751889,0.011499225,3.41369863,2.999597073,3.048152129,2.758037806,3.363624652,26.0774954,119.2918215,0.107381216,158.0880975,0.070393002,10914.7875,0.232564675,0.218359575
1,翟占一,1956/10/1,2005/8/1,0,硕士,2,18,汉族,1,山东省,济宁市,0,2.303392475,0.272700764,0.147504125,0.277401988,0.531734203,0.134832382,0.25279245,0.082421686,0.095099624,0.182416604,-0.38509972,0.358766024,0.019977499,0,2.998824279,3.279829025,2.809923808,3.393010139,35.4125047,116.5849266,0.203608237,39.10158824,0.312231535,1313.881815,0.448373826,0.756286011
1,耿彦波,1958/11/1,2008/2/1,0,硕士,2,18,汉族,1,山西省,晋中市,0,2.122184787,0.239779855,0.143546356,0.273111215,0.525596709,0.138317517,0.236223083,0.091985829,0.085960266,0.157311545,-0.3310092,0.356806859,0.016490786,5.005479452,2.819715182,2.95737052,3.067214807,3.055490812,37.6866796,112.7383414,0.100508848,208.8456926,0.112049593,19894.47823,0.177670092,0.145591587
1,耿怀英,1950/7/1,2005/1/1,0,硕士,2,18,汉族,1,山西省,晋中市,0,2.345038631,0.290787226,0.157967557,0.265639339,0.594669289,0.130228996,0.242643237,0.082456834,0.090228855,0.179296494,-0.36254606,0.337364643,0.021486232,3.249315068,3.080283761,3.046376586,2.796666384,3.353626013,37.6866796,112.7383414,0.232022412,23.2539475,0.359018326,2026.96,0.539059042,0.968573224
1,耿文清,1955/10/1,2001/1/1,0,硕士,2,18,汉族,1,山东省,潍坊市,1,2.396812519,0.292023209,0.155306078,0.269204515,0.576907403,0.118615763,0.261079269,0.082425218,0.096339501,0.218350033,-0.380738194,0.338056754,0.022744527,0,2.787175179,3.031853318,2.656857729,3.277022839,36.7071591,119.1557441,0.184653871,80.80275989,0.227462804,4862.025,0.372547216,
